gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
mens,3/12/2023,0,1,0.984874378,0.69478706,0.407203221,0.253284049,0.11982747,0.052968225,1,1,2509,UConn,92.47957045,East,1,0,4,0.6390,1,92.47957045
mens,3/12/2023,0,1,0.009251115,0.000533469,0.0000282,1.99E-06,1.91E-07,1.92E-08,1,1,2640,Stetson,74.79942291,East,16,2,133,0.5280,16,74.79942291
mens,3/12/2023,0,1,0.641222075,0.216370178,9.94E-02,5.06E-02,1.97E-02,7.29E-03,1,1,235,Florida Atlantic,85.61311653,East,8,4,23,0.6060,8,85.61311653
mens,3/12/2023,0,1,0.358777925,0.088024073,0.033883018,0.014851598,0.004981988,0.001606481,1,1,2226,Northwestern,82.15921123,East,9,6,65,0.5677,9,82.15921123
mens,3/12/2023,0,1,0.819032266,0.457112286,0.226753343,0.132184607,0.05408181,0.020908122,1,1,150,San Diego State,89.78238124,East,5,8,5,0.6368,5,89.78238124
mens,3/12/2023,0,1,0.180967734,0.051100857,0.011754228,0.003748082,0.001028003,0.000275861,1,1,198,UAB,81.13403292,East,12,10,50,0.5796,12,81.13403292
mens,3/12/2023,0,1,0.867605166,0.46447596,0.216502044,0.120432564,0.050080183,0.019651727,1,1,2633,Auburn,89.63568174,East,4,12,10,0.6262,4,89.63568174
mens,3/12/2023,0,1,0.132394834,0.027310897,0.004407981,0.001041674,0.000234214,0.0000524,1,1,309,Yale,81.84769882,East,13,14,29,0.5979,13,81.84769882
mens,3/12/2023,0,1,0.664488072,0.446210806,0.232082894,0.103480708,0.040300937,0.014892382,1,1,96,Brigham Young,85.31235433,East,6,16,44,0.5847,6,85.31235433
mens,3/12/2023,0,1,0.335511928,0.183708838,0.087291372,0.035433441,0.010109749,0.002812509,1,1,2507,Duquesne,83.06375582,East,11,18,31,0.5972,11,83.06375582
mens,3/12/2023,0,1,0.851407907,0.349000831,0.148982154,0.054215416,0.019647872,0.006798314,1,1,2306,Illinois,89.47425584,East,3,20,16,0.6154,3,89.47425584
mens,3/12/2023,0,1,0.148592093,0.021079525,0.003616481,0.0005367,0.0000834,0.0000132,1,1,147,Morehead State,78.56314711,East,14,22,74,0.5619,14,78.56314711
mens,3/12/2023,0,1,0.637027038,0.269577385,0.129958942,0.049984701,1.65E-02,5.23E-03,1,1,127,Washington State,84.50920103,East,7,24,48,0.5824,7,84.50920103
mens,3/12/2023,0,1,0.362972962,0.118288891,0.048212049,0.015544351,0.005150957,0.00164254,1,1,30,Drake,86.20104352,East,10,26,8,0.6312,10,86.20104352
mens,3/12/2023,0,1,0.889203263,0.584277017,0.342156839,0.163023773,0.067898241,0.026682275,1,1,269,Iowa State,90.43939954,East,2,28,14,0.6199,2,90.43939954
mens,3/12/2023,0,1,0.110796737,0.027856708,0.007699268,0.001674537,0.000266912,0.0000434,1,1,261,South Dakota State,75.44794901,East,15,30,132,0.5282,15,75.44794901
mens,3/12/2023,0,1,0.978208685,0.656920532,0.389980839,0.202774729,9.13E-02,4.96E-02,1,1,2305,North Carolina,91.76534005,West,1,32,9,0.6293,1,91.76534005
mens,3/12/2023,1,0.5,0.021791315,0.001381552,0.0000969,0.000006,0.00000039,3.67E-08,0,1,47,Howard,70.31523411,West,16a,34,273,0.4671,16,70.31523411
mens,3/12/2023,1,0.5,0.021791315,0.001381552,9.69E-05,6.00E-06,3.90E-07,3.67E-08,0,1,47,Wagner,70.07961171,West,16b,35,280,0.4639,16,70.07961171
