gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_row,team_name,team_rating,team_region,team_seed,team_slot,RPI_index,RPI,seed,regressed_rating
mens,3/12/2023,0,1,0.984874378,0.69478706,0.407203221,0.253284049,0.11982747,0.052968225,1,1,1,1,Auburn,96.26,South,1,0,2,0.6903,1,96.25689205
mens,3/12/2023,1,0.5,0.009251115,0.000533469,2.82E-05,1.99E-06,1.91E-07,1.92E-08,1,1,2,67,Alabama St.,70.95,South,16,2,250,0.4757,16,70.94846931
mens,3/12/2023,1,0.5,0.641222075,0.216370178,0.099449089,0.050560152,0.019715273,0.007293645,1,1,3,71,Saint Francis U,71.78,South,16,3,226,0.4870,16,71.78051091
mens,3/12/2023,0,1,0.358777925,0.088024073,0.033883018,0.014851598,0.004981988,0.001606481,1,1,4,2,Louisville,86.62,South,8,4,18,0.6197,8,86.62187493
mens,3/12/2023,0,1,0.819032266,0.457112286,0.226753343,0.132184607,0.05408181,0.020908122,1,1,5,35,Creighton,84.15,South,9,6,37,0.5948,9,84.15463843
mens,3/12/2023,0,1,0.180967734,0.051100857,0.011754228,0.003748082,0.001028003,0.000275861,1,1,6,3,Michigan,89.05,South,5,8,12,0.6268,5,89.04606124
mens,3/12/2023,0,1,0.867605166,0.46447596,0.216502044,0.120432564,0.050080183,0.019651727,1,1,7,36,UC San Diego,82.56,South,12,10,32,0.5990,12,82.56249372
mens,3/12/2023,0,1,0.132394834,0.027310897,0.004407981,0.001041674,0.000234214,5.24E-05,1,1,8,4,Texas A&M,88.78,South,4,12,19,0.6146,4,88.78155054
mens,3/12/2023,0,1,0.664488072,0.446210806,0.232082894,0.103480708,0.040300937,0.014892382,1,1,9,37,Yale,81.30,South,13,14,43,0.5904,13,81.29545882
mens,3/12/2023,0,1,0.335511928,0.183708838,0.087291372,0.035433441,0.010109749,0.002812509,1,1,10,5,Ole Miss,88.01,South,6,16,14,0.6214,6,88.01464873
mens,3/12/2023,1,0.5,0.851407907,0.349000831,0.148982154,0.054215416,0.019647872,0.006798314,1,1,11,68,San Diego St.,82.43,South,11,18,44,0.5886,11,82.43052062
mens,3/12/2023,1,0.5,0.148592093,0.021079525,0.003616481,0.0005367,8.34E-05,1.32E-05,1,1,12,72,North Carolina,83.00,South,11,19,34,0.5963,11,82.99748702
mens,3/12/2023,0,1,0.637027038,0.269577385,0.129958942,0.049984701,0.016473309,0.005226933,1,1,13,6,Iowa St.,88.04,South,3,20,36,0.5959,3,88.03843184
mens,3/12/2023,0,1,0.362972962,0.118288891,0.048212049,0.015544351,0.005150957,0.00164254,1,1,14,39,Lipscomb,77.30,South,14,22,100,0.5447,14,77.29667671
mens,3/12/2023,0,1,0.889203263,0.584277017,0.342156839,0.163023773,0.067898241,0.026682275,1,1,15,7,Marquette,85.82,South,7,24,31,0.6002,7,85.81985063
mens,3/12/2023,0,1,0.110796737,0.027856708,0.007699268,0.001674537,0.000266912,4.34E-05,1,1,16,40,New Mexico,84.05,South,10,26,25,0.6020,10,84.05098912
mens,3/12/2023,0,1,0.978208685,0.656920532,0.389980839,0.202774729,0.091264956,0.049550306,1,1,17,8,Michigan St.,91.99,South,2,28,9,0.6409,2,91.98567154
mens,3/12/2023,0,1,0.021791315,0.001381552,9.69E-05,6.00E-06,3.90E-07,3.67E-08,0,1,18,41,Bryant,76.24,South,15,30,108,0.5390,15,76.24317461
mens,3/12/2023,0,1,0.021791315,0.001381552,9.69E-05,6.00E-06,3.90E-07,3.67E-08,0,1,19,9,Duke,93.80,East,1,32,5,0.6570,1,93.80494645
mens,3/12/2023,1,0.5,0.515279284,0.178697793,0.085600101,0.035551209,0.013563825,0.00642351,1,1,20,69,American,74.17,East,16,34,151,0.5195,16,74.17355091
mens,3/12/2023,1,0.5,0.484720716,0.163000123,0.072760621,0.02812114,0.009739409,0.004250928,1,1,21,73,Mount St. Mary's,75.06,East,16,35,128,0.5315,16,75.05713491
mens,3/12/2023,0,1,0.585061934,0.180580515,0.092029519,0.045293661,0.015549224,0.006736092,1,1,22,10,Mississippi St.,84.67,East,8,36,38,0.5932,8,84.67062693
mens,3/12/2023,0,1,0.414938066,0.106666754,0.029900908,0.008561071,0.002290122,0.000799867,1,1,23,43,Baylor,82.91,East,9,38,56,0.5779,9,82.91025763
mens,3/12/2023,0,1,0.846392029,0.645402201,0.314987954,0.148964715,0.061235588,0.030858307,1,1,24,11,Oregon,88.60,East,5,40,16,0.6207,5,88.59690604
mens,3/12/2023,0,1,0.153607971,0.06735053,0.014643123,0.003328763,0.00071082,0.000203313,1,1,25,44,Liberty,81.51,East,12,42,49,0.5847,12,81.50955612
mens,3/12/2023,0,1,0.678964288,0.259550573,0.115422087,0.051341087,0.020315669,0.009918585,1,1,26,12,Arizona,87.75,East,4,44,29,0.6006,4,87.75070254
mens,3/12/2023,0,1,0.182820818,0.050011478,0.019086405,0.007368155,0.001883724,0.000632263,1,1,27,45,Akron,81.88,East,13,46,33,0.5983,13,81.87715162
mens,3/12/2023,0,1,0.916324146,0.636505465,0.376589198,0.218817242,0.090201725,0.045560372,1,1,28,13,BYU,85.29,East,6,48,50,0.5844,6,85.29026473
mens,3/12/2023,0,1,0.083675854,0.01952097,0.004224046,0.000960372,0.000143975,2.98E-05,1,1,29,46,VCU,83.41,East,11,50,26,0.6019,11,83.40982622
mens,3/12/2023,0,1,0.412673796,0.109557862,0.03383619,0.011655362,0.003346373,0.001243199,1,1,30,14,Wisconsin,89.03,East,3,52,20,0.6094,3,89.03246384
mens,3/12/2023,0,1,0.587326204,0.187608998,0.065581355,0.025198347,0.006470498,0.002180205,1,1,31,47,Montana,79.14,East,14,54,62,0.5698,14,79.14483991
mens,3/12/2023,0,1,0.954593616,0.695641022,0.372279437,0.207519464,0.075046756,0.033976024,1,1,32,15,Saint Mary's,87.65,East,7,56,13,0.6251,7,87.65328743
mens,3/12/2023,0,1,0.045406384,0.007192118,0.000700563,8.35E-05,9.58E-06,1.55E-06,1,1,33,48,Vanderbilt,81.81,East,10,58,60,0.5716,10,81.81257632
mens,3/12/2023,0,1,0.986018307,0.819507262,0.654195843,0.452906394,0.304917872,0.161761185,1,1,34,16,Alabama,94.42,East,2,60,3,0.6740,2,94.42289074
mens,3/12/2023,0,1,0.008253903,0.000844124,0.000116639,1.23E-05,1.97E-06,2.42E-07,1,1,35,49,Robert Morris,76.70,East,15,62,99,0.5452,15,76.69969301
mens,3/12/2023,0,1,0.508126528,0.091935716,0.054967897,0.026262055,0.011800902,0.003987945,1,1,36,17,Florida,94.26,West,1,64,4,0.6632,1,94.26146485
mens,3/12/2023,0,1,0.491873472,0.087225019,0.052298325,0.025069597,0.01107039,0.003674293,1,1,37,50,Norfolk St.,75.03,West,16,66,130,0.5311,16,75.02768211
mens,3/12/2023,0,1,0.669242707,0.385298635,0.102075736,0.046222328,0.022748117,0.008456092,1,1,38,18,UConn,83.30,West,8,68,58,0.5746,8,83.30107173
mens,3/12/2023,0,1,0.330757293,0.145341635,0.023798191,0.00752484,0.002406098,0.000577516,1,1,39,51,Oklahoma,82.24,West,9,70,64,0.5688,9,82.24020643
mens,3/12/2023,0,1,0.721410838,0.375305749,0.098569752,0.044362887,0.019295838,0.006305345,1,1,40,19,Memphis,90.13,West,5,72,8,0.6415,5,90.12845164
mens,3/12/2023,0,1,0.278589162,0.094053981,0.01391519,0.004059145,0.001157052,0.000248121,1,1,41,52,Colorado St.,81.75,West,12,74,45,0.5880,12,81.75254172
mens,3/12/2023,0,1,0.785335862,0.457925503,0.260874761,0.110836055,0.060183228,0.024875662,1,1,42,20,Maryland,87.86,West,4,76,24,0.6021,4,87.86115054
mens,3/12/2023,0,1,0.214664138,0.073063974,0.02958466,0.008666911,0.003287527,0.000934981,1,1,43,53,Grand Canyon,78.59,West,13,78,87,0.5536,13,78.58580122
mens,3/12/2023,0,1,0.889010974,0.451153926,0.241321565,0.095409239,0.056138545,0.025384482,1,1,44,21,Missouri,85.74,West,6,80,42,0.5905,6,85.73941993
mens,3/12/2023,0,1,0.110989026,0.017856597,0.003037756,0.00037485,7.96E-05,1.28E-05,1,1,45,54,Drake,83.65,West,11,82,22,0.6052,11,83.65281182
mens,3/12/2023,0,1,0.359265361,0.09164939,0.033308577,0.009685177,0.003949577,0.001208377,1,1,46,22,Texas Tech,88.05,West,3,84,35,0.5961,3,88.05315824
